protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,39.195.254.85,40825,12.12.205.123,80,1078,Yes
TCP,140.169.220.50,45822,12.12.116.135,80,1078,Yes
TCP,88.157.206.104,50384,12.12.63.113,80,54,No
TCP,229.94.249.136,18683,12.12.76.252,80,1078,Yes
TCP,203.35.164.72,3586,12.12.202.108,80,54,No
TCP,209.104.215.49,60195,12.12.229.15,80,54,No
TCP,5.20.16.155,37424,12.12.228.48,80,1078,Yes
TCP,94.252.115.95,64274,12.12.62.49,80,54,No
TCP,49.137.151.77,24323,12.12.129.98,80,1078,Yes
TCP,238.21.212.185,43361,12.12.1.150,80,54,No
TCP,109.210.162.60,43771,12.12.193.125,80,54,No
TCP,164.92.189.110,52432,12.12.198.62,80,1078,Yes
TCP,6.125.7.13,48619,12.12.153.23,80,54,No
TCP,237.31.194.115,31429,12.12.126.185,80,1078,Yes
TCP,140.167.67.89,1728,12.12.109.104,80,54,No
TCP,61.176.12.166,26716,12.12.7.10,80,54,No
TCP,53.95.201.28,62985,12.12.249.163,80,1078,Yes
TCP,45.247.182.140,55248,12.12.216.224,80,1078,Yes
TCP,232.89.111.134,26524,12.12.113.122,80,1078,Yes
TCP,43.221.121.255,1935,12.12.164.171,80,54,No
TCP,217.215.86.178,65015,12.12.86.153,80,1078,Yes
TCP,197.235.131.105,50142,12.12.77.87,80,54,No
TCP,255.109.140.186,23940,12.12.185.155,80,1078,Yes
TCP,175.170.223.206,56632,12.12.249.31,80,1078,Yes
TCP,52.131.82.12,64434,12.12.171.2,80,54,No
TCP,47.44.112.152,25542,12.12.49.180,80,54,No
TCP,33.176.239.18,20913,12.12.77.229,80,1078,Yes
TCP,234.9.47.154,20695,12.12.1.87,80,1078,Yes
TCP,85.124.6.188,62869,12.12.206.218,80,1078,Yes
TCP,35.88.199.87,52483,12.12.58.68,80,1078,Yes
TCP,171.218.117.198,9107,12.12.79.22,80,1078,Yes
TCP,222.102.47.152,48555,12.12.91.72,80,54,No
TCP,90.106.117.125,18350,12.12.214.214,80,54,No
TCP,76.248.118.128,35248,12.12.205.98,80,54,No
TCP,251.202.191.38,62566,12.12.10.42,80,54,No
TCP,209.143.250.51,60691,12.12.27.86,80,1078,Yes
TCP,139.171.59.211,4113,12.12.61.118,80,1078,Yes
TCP,23.217.208.224,60797,12.12.224.187,80,1078,Yes
TCP,221.187.253.197,29340,12.12.17.54,80,1078,Yes
TCP,124.217.151.3,12781,12.12.57.114,80,1078,Yes
TCP,116.227.95.103,13778,12.12.149.111,80,54,No
TCP,119.162.26.164,39087,12.12.53.101,80,54,No
TCP,143.45.172.82,20157,12.12.212.246,80,1078,Yes
TCP,145.216.248.131,9800,12.12.196.41,80,54,No
TCP,14.3.137.177,5815,12.12.19.108,80,1078,Yes
TCP,39.154.211.192,42546,12.12.233.209,80,54,No
TCP,163.116.139.116,29093,12.12.31.33,80,54,No
TCP,33.74.176.94,26978,12.12.129.239,80,1078,Yes
TCP,63.181.132.52,59036,12.12.120.28,80,1078,Yes
TCP,213.86.0.47,6640,12.12.171.190,80,1078,Yes
TCP,144.186.130.72,5630,12.12.86.100,80,54,No
TCP,174.1.239.151,64850,12.12.109.178,80,54,No
TCP,218.139.227.50,61399,12.12.107.227,80,1078,Yes
TCP,192.199.0.81,18648,12.12.81.90,80,1078,Yes
TCP,77.167.97.111,65432,12.12.213.152,80,54,No
TCP,20.112.34.93,31917,12.12.200.31,80,54,No
TCP,116.11.116.163,40077,12.12.243.206,80,1078,Yes
TCP,79.9.1.70,17980,12.12.102.237,80,54,No
TCP,219.55.89.35,44061,12.12.54.99,80,54,No
TCP,187.144.83.57,26705,12.12.113.67,80,54,No
TCP,167.85.205.42,35148,12.12.48.225,80,1078,Yes
TCP,171.177.148.250,54215,12.12.169.16,80,1078,Yes
TCP,186.252.50.111,42912,12.12.122.55,80,54,No
TCP,214.239.34.41,21877,12.12.213.226,80,1078,Yes
TCP,142.22.233.200,61422,12.12.22.40,80,54,No
TCP,148.84.9.252,21376,12.12.188.97,80,1078,Yes
TCP,60.31.228.182,7626,12.12.21.156,80,54,No
TCP,42.20.69.61,36851,12.12.221.26,80,54,No
TCP,196.153.30.148,50207,12.12.23.97,80,54,No
TCP,64.124.165.236,50068,12.12.109.42,80,1078,Yes
TCP,26.238.109.213,37580,12.12.250.32,80,1078,Yes
