protocol,src_addr,src_port,dst_addr,dst_port
TCP,212.156.75.75,63584,10.10.10.19,80
TCP,212.156.75.75,63584,10.10.10.19,80
TCP,159.163.25.254,46050,10.10.169.242,80
TCP,159.163.25.254,46050,10.10.169.242,80
TCP,173.97.105.156,25492,10.10.38.169,80
TCP,173.97.105.156,25492,10.10.38.169,80
TCP,132.158.233.29,19296,10.10.64.55,80
TCP,132.158.233.29,19296,10.10.64.55,80
TCP,205.128.157.193,7397,10.10.237.187,80
TCP,205.128.157.193,7397,10.10.237.187,80
TCP,171.172.201.119,58551,10.10.54.50,80
TCP,171.172.201.119,58551,10.10.54.50,80
TCP,170.241.156.143,35182,10.10.113.145,80
TCP,170.241.156.143,35182,10.10.113.145,80
TCP,248.163.83.43,51461,10.10.213.235,80
TCP,248.163.83.43,51461,10.10.213.235,80
TCP,176.85.133.127,64254,10.10.120.239,80
TCP,176.85.133.127,64254,10.10.120.239,80
TCP,195.9.66.64,17537,10.10.189.161,80
TCP,195.9.66.64,17537,10.10.189.161,80
TCP,167.1.18.249,10155,11.11.131.112,80
TCP,36.179.72.45,9721,11.11.41.115,80
TCP,91.127.193.61,29970,11.11.224.206,80
TCP,4.2.91.99,64717,11.11.121.220,80
TCP,157.131.239.226,22490,11.11.213.31,80
TCP,242.68.111.65,60581,11.11.33.143,80
TCP,29.51.211.159,8285,11.11.11.117,80
TCP,199.224.136.8,64569,11.11.228.247,80
TCP,17.102.237.148,28139,11.11.59.248,80
TCP,151.50.179.133,43540,11.11.168.4,80
TCP,28.170.134.29,11600,12.12.72.244,80
TCP,251.113.225.77,27891,12.12.162.132,80
TCP,22.237.184.160,30292,12.12.171.79,80
TCP,151.69.244.223,11375,12.12.137.249,80
TCP,105.70.26.230,5515,12.12.174.16,80
TCP,141.199.129.210,33475,12.12.165.76,80
TCP,202.19.46.60,51654,12.12.185.205,80
TCP,108.249.15.16,18135,12.12.86.162,80
TCP,86.95.104.163,6972,12.12.134.177,80
TCP,26.234.39.251,56402,12.12.164.220,80
TCP,115.82.117.200,13323,20.20.20.109,80
TCP,157.249.148.162,62456,20.20.20.209,80
TCP,10.139.122.244,28256,20.20.20.116,80
TCP,244.58.15.145,46534,20.20.20.26,80
TCP,30.132.64.192,37252,20.20.20.240,80
TCP,253.63.182.192,23633,20.20.20.192,80
TCP,193.172.165.71,24529,20.20.20.227,80
TCP,31.46.233.14,27331,20.20.20.91,80
TCP,210.55.113.143,25325,20.20.20.75,80
TCP,118.8.246.72,12635,20.20.20.46,80
TCP,118.129.122.164,63322,10.10.29.62,80
TCP,59.101.32.108,6737,10.10.1.94,80
TCP,14.110.246.129,54222,10.10.1.225,80
TCP,141.88.172.106,27821,10.10.99.73,80
TCP,93.40.215.245,51526,10.10.235.166,80
TCP,240.158.101.6,57659,10.10.221.178,80
TCP,19.89.82.219,37406,10.10.11.127,80
TCP,12.215.8.51,32591,10.10.254.121,80
TCP,100.109.46.1,40441,10.10.169.214,80
TCP,228.184.241.43,56497,10.10.150.87,80
TCP,125.212.169.228,63265,10.10.28.250,80
TCP,141.5.131.144,55830,10.10.58.59,80
TCP,202.86.16.246,16568,10.10.84.77,80
TCP,137.15.66.98,10023,10.10.15.140,80
TCP,255.37.149.251,32888,10.10.151.27,80
TCP,1.133.172.26,24530,10.10.235.237,80
TCP,172.184.239.242,34468,10.10.103.108,80
TCP,98.161.169.188,10975,10.10.121.187,80
TCP,233.32.42.232,11826,10.10.126.174,80
TCP,52.255.31.148,21347,10.10.102.188,80
