protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,184.88.16.60,4206,10.10.11.28,80,54,No
TCP,184.88.16.60,4206,10.10.11.28,80,54,No
TCP,80.218.69.55,41965,10.10.13.236,80,1078,Yes
TCP,80.218.69.55,41965,10.10.13.236,80,1078,Yes
TCP,229.244.16.213,40285,10.10.125.8,80,54,No
TCP,229.244.16.213,40285,10.10.125.8,80,54,No
TCP,175.53.131.64,59762,10.10.221.255,80,54,No
TCP,175.53.131.64,59762,10.10.221.255,80,54,No
TCP,234.201.133.66,60869,10.10.190.61,80,1078,Yes
TCP,234.201.133.66,60869,10.10.190.61,80,1078,Yes
TCP,185.121.223.101,44034,10.10.203.32,80,1078,Yes
TCP,185.121.223.101,44034,10.10.203.32,80,1078,Yes
TCP,245.154.118.139,53077,10.10.66.90,80,54,No
TCP,245.154.118.139,53077,10.10.66.90,80,54,No
TCP,49.89.186.60,56975,10.10.133.184,80,1078,Yes
TCP,49.89.186.60,56975,10.10.133.184,80,1078,Yes
TCP,15.204.109.203,31986,10.10.0.47,80,54,No
TCP,15.204.109.203,31986,10.10.0.47,80,54,No
TCP,67.174.237.126,16449,10.10.82.172,80,1078,Yes
TCP,67.174.237.126,16449,10.10.82.172,80,1078,Yes
TCP,61.80.172.242,55204,10.10.71.181,80,54,No
TCP,61.80.172.242,55204,10.10.71.181,80,54,No
TCP,220.82.223.201,38929,10.10.248.96,80,54,No
TCP,220.82.223.201,38929,10.10.248.96,80,54,No
TCP,124.197.146.117,4460,10.10.57.100,80,1078,Yes
TCP,124.197.146.117,4460,10.10.57.100,80,1078,Yes
TCP,156.243.82.157,40776,10.10.229.167,80,1078,Yes
TCP,156.243.82.157,40776,10.10.229.167,80,1078,Yes
TCP,226.209.55.151,45511,10.10.178.206,80,1078,Yes
TCP,226.209.55.151,45511,10.10.178.206,80,1078,Yes
TCP,8.187.68.148,44097,10.10.32.92,80,54,No
TCP,8.187.68.148,44097,10.10.32.92,80,54,No
TCP,165.135.110.158,63409,10.10.133.186,80,1078,Yes
TCP,165.135.110.158,63409,10.10.133.186,80,1078,Yes
TCP,182.27.196.225,58828,10.10.48.43,80,54,No
TCP,182.27.196.225,58828,10.10.48.43,80,54,No
TCP,3.218.153.185,22565,10.10.69.69,80,54,No
TCP,3.218.153.185,22565,10.10.69.69,80,54,No
TCP,185.169.41.180,20342,10.10.78.53,80,1078,Yes
TCP,185.169.41.180,20342,10.10.78.53,80,1078,Yes
TCP,125.163.238.198,45176,10.10.75.216,80,54,No
TCP,125.163.238.198,45176,10.10.75.216,80,54,No
TCP,254.234.113.183,41388,10.10.24.62,80,1078,Yes
TCP,254.234.113.183,41388,10.10.24.62,80,1078,Yes
TCP,209.51.235.60,53453,10.10.77.102,80,54,No
TCP,209.51.235.60,53453,10.10.77.102,80,54,No
TCP,35.136.44.34,18901,10.10.110.25,80,1078,Yes
TCP,35.136.44.34,18901,10.10.110.25,80,1078,Yes
TCP,2.108.225.204,3258,10.10.85.221,80,1078,Yes
TCP,2.108.225.204,3258,10.10.85.221,80,1078,Yes
TCP,59.226.17.137,20047,10.10.233.157,80,1078,Yes
TCP,59.226.17.137,20047,10.10.233.157,80,1078,Yes
TCP,38.162.5.206,45855,10.10.151.246,80,1078,Yes
TCP,38.162.5.206,45855,10.10.151.246,80,1078,Yes
TCP,165.87.254.92,15679,10.10.16.57,80,54,No
TCP,165.87.254.92,15679,10.10.16.57,80,54,No
TCP,215.186.252.207,19031,10.10.137.101,80,54,No
TCP,215.186.252.207,19031,10.10.137.101,80,54,No
TCP,96.170.182.44,29411,10.10.127.46,80,54,No
TCP,96.170.182.44,29411,10.10.127.46,80,54,No
TCP,135.121.215.170,53132,10.10.232.80,80,54,No
TCP,135.121.215.170,53132,10.10.232.80,80,54,No
TCP,14.185.249.1,21998,10.10.62.4,80,1078,Yes
TCP,14.185.249.1,21998,10.10.62.4,80,1078,Yes
TCP,181.131.58.237,48110,10.10.142.137,80,1078,Yes
TCP,181.131.58.237,48110,10.10.142.137,80,1078,Yes
TCP,111.196.36.50,65045,10.10.215.3,80,1078,Yes
TCP,111.196.36.50,65045,10.10.215.3,80,1078,Yes
TCP,204.242.66.143,38447,10.10.185.238,80,54,No
TCP,204.242.66.143,38447,10.10.185.238,80,54,No
TCP,225.137.29.201,49286,10.10.147.79,80,1078,Yes
TCP,225.137.29.201,49286,10.10.147.79,80,1078,Yes
TCP,222.151.172.225,37275,10.10.125.115,80,54,No
TCP,222.151.172.225,37275,10.10.125.115,80,54,No
TCP,31.6.42.155,57305,10.10.50.50,80,54,No
TCP,31.6.42.155,57305,10.10.50.50,80,54,No
TCP,149.98.217.7,32703,10.10.212.254,80,1078,Yes
TCP,149.98.217.7,32703,10.10.212.254,80,1078,Yes
TCP,168.145.63.135,39942,10.10.227.188,80,54,No
TCP,168.145.63.135,39942,10.10.227.188,80,54,No
TCP,147.116.71.242,3590,10.10.139.3,80,54,No
TCP,147.116.71.242,3590,10.10.139.3,80,54,No
TCP,216.180.103.219,3480,10.10.152.245,80,1078,Yes
TCP,216.180.103.219,3480,10.10.152.245,80,1078,Yes
TCP,119.215.93.76,45359,10.10.114.180,80,1078,Yes
TCP,119.215.93.76,45359,10.10.114.180,80,1078,Yes
TCP,170.228.231.157,59502,10.10.206.218,80,1078,Yes
TCP,170.228.231.157,59502,10.10.206.218,80,1078,Yes
TCP,75.249.40.130,29010,10.10.56.204,80,1078,Yes
TCP,75.249.40.130,29010,10.10.56.204,80,1078,Yes
TCP,247.179.210.112,49759,10.10.60.79,80,1078,Yes
TCP,247.179.210.112,49759,10.10.60.79,80,1078,Yes
TCP,67.228.65.183,16526,10.10.22.88,80,54,No
TCP,67.228.65.183,16526,10.10.22.88,80,54,No
TCP,46.237.254.122,28216,10.10.52.230,80,1078,Yes
TCP,46.237.254.122,28216,10.10.52.230,80,1078,Yes
TCP,1.21.242.55,11019,10.10.182.72,80,1078,Yes
TCP,1.21.242.55,11019,10.10.182.72,80,1078,Yes
TCP,116.120.45.232,31648,10.10.147.0,80,54,No
TCP,116.120.45.232,31648,10.10.147.0,80,54,No
TCP,137.86.155.200,39549,10.10.184.54,80,1078,Yes
TCP,137.86.155.200,39549,10.10.184.54,80,1078,Yes
TCP,200.178.10.89,56246,10.10.23.163,80,54,No
TCP,200.178.10.89,56246,10.10.23.163,80,54,No
TCP,42.184.199.29,47605,10.10.216.210,80,1078,Yes
TCP,42.184.199.29,47605,10.10.216.210,80,1078,Yes
TCP,60.33.51.3,44130,10.10.157.56,80,1078,Yes
TCP,60.33.51.3,44130,10.10.157.56,80,1078,Yes
TCP,216.245.75.128,55153,10.10.119.149,80,54,No
TCP,216.245.75.128,55153,10.10.119.149,80,54,No
TCP,134.16.246.252,20656,10.10.102.183,80,54,No
TCP,134.16.246.252,20656,10.10.102.183,80,54,No
TCP,166.159.39.20,35459,10.10.192.166,80,1078,Yes
TCP,166.159.39.20,35459,10.10.192.166,80,1078,Yes
