protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,222.65.113.247,63311,11.11.90.85,80,1078,No
TCP,39.198.57.249,64314,11.11.247.60,80,566,Yes
TCP,250.71.153.111,24111,11.11.219.200,80,1078,No
TCP,41.63.80.199,57759,11.11.74.126,80,1078,No
TCP,142.182.46.248,51416,11.11.107.245,80,566,Yes
TCP,206.132.94.101,18526,11.11.192.190,80,1078,No
TCP,54.110.135.132,59666,11.11.227.110,80,566,Yes
TCP,211.137.121.124,26572,11.11.40.44,80,1078,No
TCP,169.94.231.197,16346,11.11.74.111,80,1078,No
TCP,61.191.145.189,7760,11.11.159.174,80,1078,No
TCP,119.221.245.26,30789,11.11.217.197,80,1078,No
TCP,35.114.12.197,46699,11.11.19.90,80,566,Yes
TCP,171.55.82.35,46766,11.11.237.70,80,566,Yes
TCP,118.0.113.59,9230,11.11.86.248,80,1078,No
TCP,154.189.17.1,41364,11.11.14.210,80,566,Yes
TCP,7.124.142.157,9267,11.11.25.158,80,1078,No
TCP,30.88.254.27,54750,11.11.50.83,80,566,Yes
TCP,66.134.5.251,12733,11.11.159.63,80,1078,No
TCP,27.184.148.155,50649,11.11.203.48,80,1078,No
TCP,76.227.45.120,14775,11.11.199.229,80,566,Yes
TCP,123.194.221.248,30363,11.11.80.174,80,566,Yes
TCP,38.148.229.201,28506,11.11.109.70,80,1078,No
TCP,112.155.57.63,15288,11.11.32.41,80,566,Yes
TCP,241.129.163.57,6574,11.11.171.240,80,566,Yes
TCP,64.137.50.245,35518,11.11.232.35,80,566,Yes
TCP,15.210.98.7,52533,11.11.237.209,80,1078,No
TCP,165.130.181.120,9261,11.11.114.35,80,566,Yes
TCP,132.20.26.25,46127,11.11.225.81,80,566,Yes
TCP,3.237.149.94,30622,11.11.41.21,80,1078,No
TCP,84.151.221.70,56924,11.11.174.91,80,566,Yes
TCP,169.118.179.73,21114,11.11.76.192,80,566,Yes
TCP,124.43.80.163,59698,11.11.237.134,80,1078,No
TCP,25.16.24.82,5404,11.11.187.238,80,1078,No
TCP,230.26.125.64,14592,11.11.10.168,80,1078,No
TCP,192.116.109.205,10509,11.11.221.40,80,566,Yes
TCP,255.244.156.93,58249,11.11.48.94,80,566,Yes
TCP,254.206.26.12,10450,11.11.243.126,80,566,Yes
TCP,86.98.162.178,57325,11.11.29.36,80,1078,No
TCP,222.3.140.149,11539,11.11.42.85,80,566,Yes
TCP,201.252.154.64,49230,11.11.30.191,80,566,Yes
TCP,76.45.247.252,56985,11.11.99.213,80,1078,No
TCP,199.43.116.172,5972,11.11.118.31,80,1078,No
TCP,10.199.224.246,34181,11.11.137.111,80,566,Yes
TCP,119.100.163.195,40075,11.11.158.92,80,1078,No
TCP,234.134.4.195,29227,11.11.174.121,80,566,Yes
TCP,14.116.165.3,32563,11.11.133.198,80,566,Yes
TCP,67.119.37.12,54369,11.11.59.74,80,566,Yes
TCP,140.78.124.170,48124,11.11.46.110,80,1078,No
TCP,127.57.66.193,19846,11.11.122.150,80,566,Yes
