protocol,src_addr,src_port,dst_addr,dst_port,length,suspicious
TCP,19.210.217.245,47773,10.10.146.93,80,1078,No
TCP,19.210.217.245,47773,10.10.146.93,80,1078,No
TCP,118.189.225.171,4010,10.10.165.160,80,1078,No
TCP,118.189.225.171,4010,10.10.165.160,80,1078,No
TCP,182.228.247.156,35411,10.10.108.153,80,566,No
TCP,182.228.247.156,35411,10.10.108.153,80,566,No
TCP,193.158.15.4,14898,10.10.89.205,80,566,No
TCP,193.158.15.4,14898,10.10.89.205,80,566,No
TCP,198.60.230.164,12914,10.10.69.163,80,566,No
TCP,198.60.230.164,12914,10.10.69.163,80,566,No
TCP,201.9.185.103,4063,10.10.223.145,80,1078,No
TCP,201.9.185.103,4063,10.10.223.145,80,1078,No
TCP,174.180.189.31,30826,10.10.180.127,80,566,No
TCP,174.180.189.31,30826,10.10.180.127,80,566,No
TCP,233.46.10.213,11568,10.10.100.79,80,1078,No
TCP,233.46.10.213,11568,10.10.100.79,80,1078,No
TCP,35.56.58.141,2904,10.10.202.46,80,566,No
TCP,35.56.58.141,2904,10.10.202.46,80,566,No
TCP,56.124.28.152,24424,10.10.22.186,80,1078,No
TCP,56.124.28.152,24424,10.10.22.186,80,1078,No
TCP,31.46.252.116,7076,10.10.202.73,80,566,No
TCP,31.46.252.116,7076,10.10.202.73,80,566,No
TCP,130.85.183.17,58832,10.10.234.39,80,566,No
TCP,130.85.183.17,58832,10.10.234.39,80,566,No
TCP,51.237.220.94,26933,10.10.53.194,80,1078,No
TCP,51.237.220.94,26933,10.10.53.194,80,1078,No
TCP,164.123.177.233,46215,10.10.1.165,80,566,No
TCP,164.123.177.233,46215,10.10.1.165,80,566,No
TCP,243.249.175.203,37212,10.10.214.229,80,1078,No
TCP,243.249.175.203,37212,10.10.214.229,80,1078,No
TCP,156.161.147.137,14416,10.10.122.21,80,1078,No
TCP,156.161.147.137,14416,10.10.122.21,80,1078,No
TCP,174.25.53.98,20547,10.10.36.85,80,566,No
TCP,174.25.53.98,20547,10.10.36.85,80,566,No
TCP,161.110.95.253,56380,10.10.57.8,80,566,No
TCP,161.110.95.253,56380,10.10.57.8,80,566,No
TCP,130.228.233.15,10037,10.10.83.241,80,1078,No
TCP,130.228.233.15,10037,10.10.83.241,80,1078,No
TCP,40.47.48.108,39892,10.10.7.19,80,1078,No
TCP,40.47.48.108,39892,10.10.7.19,80,1078,No
TCP,77.132.213.171,2041,10.10.33.122,80,1078,No
TCP,77.132.213.171,2041,10.10.33.122,80,1078,No
TCP,157.138.36.52,27755,10.10.78.208,80,1078,No
TCP,157.138.36.52,27755,10.10.78.208,80,1078,No
TCP,136.111.62.96,53289,10.10.94.164,80,1078,No
TCP,136.111.62.96,53289,10.10.94.164,80,1078,No
TCP,63.248.109.80,54711,10.10.77.244,80,566,No
TCP,63.248.109.80,54711,10.10.77.244,80,566,No
TCP,90.14.118.252,59765,10.10.96.157,80,566,No
TCP,90.14.118.252,59765,10.10.96.157,80,566,No
TCP,104.33.22.131,31690,10.10.127.176,80,1078,No
TCP,104.33.22.131,31690,10.10.127.176,80,1078,No
TCP,24.105.237.70,43281,10.10.203.44,80,566,No
TCP,24.105.237.70,43281,10.10.203.44,80,566,No
TCP,241.80.66.18,44251,10.10.136.249,80,1078,No
TCP,241.80.66.18,44251,10.10.136.249,80,1078,No
TCP,91.47.21.162,2075,10.10.45.145,80,1078,No
TCP,91.47.21.162,2075,10.10.45.145,80,1078,No
TCP,135.27.109.124,14327,10.10.240.192,80,566,No
TCP,135.27.109.124,14327,10.10.240.192,80,566,No
TCP,248.191.4.196,27039,10.10.146.44,80,566,No
TCP,248.191.4.196,27039,10.10.146.44,80,566,No
TCP,104.206.11.26,50647,10.10.160.207,80,566,No
TCP,104.206.11.26,50647,10.10.160.207,80,566,No
TCP,137.19.240.67,47810,10.10.18.198,80,566,No
TCP,137.19.240.67,47810,10.10.18.198,80,566,No
TCP,52.36.65.211,56979,10.10.95.161,80,566,No
TCP,52.36.65.211,56979,10.10.95.161,80,566,No
TCP,198.220.112.63,13272,10.10.177.86,80,566,No
TCP,198.220.112.63,13272,10.10.177.86,80,566,No
TCP,51.159.27.48,2216,10.10.48.30,80,1078,No
TCP,51.159.27.48,2216,10.10.48.30,80,1078,No
TCP,6.122.42.61,54663,10.10.246.10,80,1078,No
TCP,6.122.42.61,54663,10.10.246.10,80,1078,No
TCP,182.102.102.231,24244,10.10.223.52,80,566,No
TCP,182.102.102.231,24244,10.10.223.52,80,566,No
TCP,59.48.70.254,15690,10.10.232.230,80,1078,No
TCP,59.48.70.254,15690,10.10.232.230,80,1078,No
TCP,25.204.213.166,61597,10.10.251.20,80,1078,No
TCP,25.204.213.166,61597,10.10.251.20,80,1078,No
TCP,4.250.177.155,47718,10.10.159.217,80,1078,No
TCP,4.250.177.155,47718,10.10.159.217,80,1078,No
TCP,221.241.166.13,4978,10.10.100.141,80,1078,No
TCP,221.241.166.13,4978,10.10.100.141,80,1078,No
TCP,10.205.235.126,59353,10.10.170.173,80,1078,No
TCP,10.205.235.126,59353,10.10.170.173,80,1078,No
